Timestamp,Heart Rate(bpm),HRV(ms)
Apr 5 2024   6:27,97,74
Apr 5 2024   6:28,99,41
Apr 5 2024   6:28,99,43
Apr 5 2024   6:28,93,94
Apr 5 2024   6:28,95,92
Apr 5 2024   6:28,111,28
Apr 5 2024   6:28,111,62
Apr 5 2024   6:28,111,34
Apr 5 2024   6:28,99,58
Apr 5 2024   6:28,99,75
Apr 5 2024   6:29,96,65
Apr 5 2024   6:29,97,93
Apr 5 2024   6:29,99,26
Apr 5 2024   6:29,99,57
Apr 5 2024   6:29,105,59
Apr 5 2024   6:29,97,60
Apr 5 2024   6:29,104,89
Apr 5 2024   6:29,104,77
Apr 5 2024   6:29,99,88
Apr 5 2024   6:29,99,48
Apr 5 2024   6:30,93,27
Apr 5 2024   6:30,93,50
Apr 5 2024   6:30,96,92
Apr 5 2024   6:30,96,73
Apr 5 2024   6:30,96,75
Apr 5 2024   6:30,96,34
Apr 5 2024   6:30,95,90
Apr 5 2024   6:30,95,41
Apr 5 2024   6:30,92,100
Apr 5 2024   6:30,92,81
Apr 5 2024   6:30,94,86
Apr 5 2024   6:30,94,60
Apr 5 2024   6:30,92,89
Apr 5 2024   6:30,95,47
Apr 5 2024   6:31,79,54
Apr 5 2024   6:31,77,61
Apr 5 2024   6:31,89,30
Apr 5 2024   6:31,89,92
Apr 5 2024   6:31,89,57
Apr 5 2024   6:31,94,31
Apr 5 2024   6:31,100,55
Apr 5 2024   6:32,84,30
Apr 5 2024   6:32,84,43
Apr 5 2024   6:32,83,56
Apr 5 2024   6:32,83,68
Apr 5 2024   6:32,83,80
Apr 5 2024   6:32,83,67
Apr 5 2024   6:32,83,34
Apr 5 2024   6:32,83,75
Apr 5 2024   6:32,83,25
Apr 5 2024   6:32,84,83
Apr 5 2024   6:32,84,82
Apr 5 2024   6:32,84,73
Apr 5 2024   6:32,84,47
Apr 5 2024   6:32,84,67
Apr 5 2024   6:32,84,39
Apr 5 2024   6:32,84,83
Apr 5 2024   6:32,86,29
Apr 5 2024   6:32,86,45
Apr 5 2024   6:32,86,96
Apr 5 2024   6:32,86,28
Apr 5 2024   6:32,86,97
Apr 5 2024   6:32,87,39
Apr 5 2024   6:32,87,48
Apr 5 2024   6:32,86,67
Apr 5 2024   6:33,86,39
Apr 5 2024   6:33,86,89
Apr 5 2024   6:33,86,68
Apr 5 2024   6:33,86,62
Apr 5 2024   6:33,86,85
Apr 5 2024   6:33,86,60
Apr 5 2024   6:33,86,70
Apr 5 2024   6:33,86,71
Apr 5 2024   6:33,88,56
Apr 5 2024   6:33,88,38
Apr 5 2024   6:33,91,38
Apr 5 2024   6:33,91,42
Apr 5 2024   6:33,91,66
Apr 5 2024   6:33,91,65
Apr 5 2024   6:33,91,35
Apr 5 2024   6:33,89,62
Apr 5 2024   6:33,89,70
Apr 5 2024   6:33,89,42
Apr 5 2024   6:33,88,81
Apr 5 2024   6:33,88,51
Apr 5 2024   6:33,88,76
Apr 5 2024   6:33,88,71
Apr 5 2024   6:33,83,63
Apr 5 2024   6:33,83,30
Apr 5 2024   6:34,83,91
Apr 5 2024   6:34,90,74
Apr 5 2024   6:34,90,55
Apr 5 2024   6:34,90,41
Apr 5 2024   6:34,90,86
Apr 5 2024   6:34,92,37
Apr 5 2024   6:34,93,90
Apr 5 2024   6:34,92,28
Apr 5 2024   6:34,92,31
Apr 5 2024   6:34,85,63
Apr 5 2024   6:34,85,97
Apr 5 2024   6:34,84,32
Apr 5 2024   6:34,84,97
Apr 5 2024   6:34,82,88
Apr 5 2024   6:34,82,75
Apr 5 2024   6:34,81,74
Apr 5 2024   6:35,83,93
Apr 5 2024   6:35,87,96
Apr 5 2024   6:35,88,72
Apr 5 2024   6:35,88,45
Apr 5 2024   6:35,86,82
Apr 5 2024   6:35,86,78
Apr 5 2024   6:35,89,65
Apr 5 2024   6:36,87,46
Apr 5 2024   6:36,85,66
Apr 5 2024   6:36,85,97
Apr 5 2024   6:36,85,34
Apr 5 2024   6:37,85,25
Apr 5 2024   6:37,92,75
Apr 5 2024   6:37,92,78
Apr 5 2024   6:37,94,73
Apr 5 2024   6:37,91,58
Apr 5 2024   6:37,93,62
Apr 5 2024   6:37,95,51
Apr 5 2024   6:38,87,38
Apr 5 2024   6:38,81,54
Apr 5 2024   6:38,81,55
Apr 5 2024   6:38,90,50
Apr 5 2024   6:38,92,83
Apr 5 2024   6:38,99,48
Apr 5 2024   6:38,99,29
Apr 5 2024   6:38,99,94
Apr 5 2024   6:38,99,88
Apr 5 2024   6:38,99,31
Apr 5 2024   6:39,102,96
Apr 5 2024   6:39,102,100
Apr 5 2024   6:39,102,32
Apr 5 2024   6:39,103,54
Apr 5 2024   6:39,99,60
Apr 5 2024   6:39,99,69
Apr 5 2024   6:39,99,80
Apr 5 2024   6:39,96,61
Apr 5 2024   6:39,94,25
Apr 5 2024   6:39,94,76
Apr 5 2024   6:39,94,41
Apr 5 2024   6:39,90,96
Apr 5 2024   6:39,90,30
Apr 5 2024   6:40,92,59
Apr 5 2024   6:40,94,92
Apr 5 2024   6:40,94,51
Apr 5 2024   6:40,96,70
Apr 5 2024   6:40,96,92
Apr 5 2024   6:40,95,92
Apr 5 2024   6:40,95,89
Apr 5 2024   6:41,95,83
Apr 5 2024   6:41,91,33
Apr 5 2024   6:41,92,63
Apr 5 2024   6:41,85,59
Apr 5 2024   6:41,85,94
Apr 5 2024   6:41,85,63
Apr 5 2024   6:41,85,72
Apr 5 2024   6:41,87,74
Apr 5 2024   6:41,89,68
Apr 5 2024   6:41,89,93
Apr 5 2024   6:41,89,80
Apr 5 2024   6:42,94,37
Apr 5 2024   6:42,85,52
Apr 5 2024   6:42,88,92
Apr 5 2024   6:42,87,42
Apr 5 2024   6:42,88,26
Apr 5 2024   6:42,88,64
Apr 5 2024   6:42,88,33
Apr 5 2024   6:42,84,57
Apr 5 2024   6:42,84,68
Apr 5 2024   6:42,84,26
Apr 5 2024   6:42,84,75
Apr 5 2024   6:42,85,85
Apr 5 2024   6:42,85,79
Apr 5 2024   6:43,85,98
Apr 5 2024   6:43,88,89
Apr 5 2024   6:43,88,35
Apr 5 2024   6:43,91,77
Apr 5 2024   6:43,91,71
Apr 5 2024   6:43,84,29
Apr 5 2024   6:43,84,64
Apr 5 2024   6:43,85,81
Apr 5 2024   6:44,86,69
Apr 5 2024   6:44,86,98
Apr 5 2024   6:44,86,80
Apr 5 2024   6:44,86,100
Apr 5 2024   6:44,88,69
Apr 5 2024   6:44,90,65
Apr 5 2024   6:44,90,85
Apr 5 2024   6:44,90,92
Apr 5 2024   6:44,87,47
Apr 5 2024   6:44,85,86
Apr 5 2024   6:44,83,96
Apr 5 2024   6:44,83,99
Apr 5 2024   6:44,85,69
Apr 5 2024   6:44,85,25
Apr 5 2024   6:44,85,38
Apr 5 2024   6:44,85,78
Apr 5 2024   6:44,84,97
Apr 5 2024   6:44,84,49
Apr 5 2024   6:44,87,46
